0|吐纳法|0|内功|0|基础|4294967295|江湖|0.0|0.0|0-0|内功+1, 经脉+1|2|生命上限+20, 内力上限+40, 内功+4, 智力+4, 经脉+4||真气喷||||0||呼出浊气，吸入清气，一吐一纳之间，内息造化而成|
1|脉络诀|0|内功|0|基础|4294967295|江湖|0.0|0.0|0-0|内功+1, 力道+1|2|生命上限+10, 内力上限+60, 灵巧+4, 意志+4, 经脉+4||真气喷||||0||将内息在经脉中初步运行的功法，为日后的高深内功打开通路|
2|气血功|0|内功|0|基础|4294967295|江湖|0.0|0.0|0-0|智力+1, 体质+1|2|生命上限+30, 内力上限+20, 力道+4, 体质+4, 经脉+4||真气喷||||0||充盈气血，强健身体之功法|
3|飞毛腿|1|轻功|0|基础|4294967295|江湖|0.0|0.0|0-2|灵巧+1|1|轻功+4, 灵巧+4, 速度+0||紫圈||||0||源于古代递送紧急军情“羽檄”之兵士的步法|
4|轻身术|1|轻功|0|基础|4294967295|江湖|0.0|0.0|0-2|轻功+1|1|轻功+4, 灵巧+4, 意志+4||紫圈||||0||每日背负沙袋行走并渐增负重，乃是最基础的轻功练习之法|
5|梅花桩|1|轻功|0|基础|4294967295|江湖|0.0|0.0|0-2|轻功+1|1|智力+4, 意志+4, 闪避+0||紫圈||||0||在布置成梅花形的木桩上修炼步法，随功力渐进，木桩也会不断增高至五尺有余|
6|铁布衫|2|绝技|0|基础|4294967295|江湖|0.0|0.0|0-0|绝技+1|1|体质+4, 护甲+2, 减伤+2||护盾||||0||基本硬功之一，修习者周身致密坚韧，能够抵御些许来袭之力道|
7|千斤坠|2|绝技|0|基础|4294967295|江湖|0.0|0.0|0-0|绝技+1|1|力道+4, 体质+4, 卸力+0||护盾||||0||此功法讲求全身力道向下以稳住身形，即使四五个壮汉也难以撼动|
8|胸口碎大石|2|绝技|0|基础|4294967295|江湖|0.0|0.0|0-0|意志+1|1|生命上限+8, 体质+4, 经脉+4||护盾||||0||卖艺之人最常见的把式，也蕴含着最基础的硬功法门|
9|太祖长拳|3|拳掌|0|基础|4294967295|江湖|5.0|10.0|1-1|拳掌+1|1||伤害+4%|打击5|0.0,0.0,15.0,0.0,0.0,0.0|0.0,0.0,10.0,0.0,0.0,0.0|拳|0|力道2,拳掌1,内力0.3|相传本朝太祖所创的基础拳法|
10|十段锦长拳|3|拳掌|0|基础|4294967295|江湖|3.0|7.0|1-1|拳掌+1|1||恢复+6%|打击|0.0,0.0,0.0,15.0,0.0,0.0|0.0,0.0,0.0,12.0,0.0,0.0|拳|0|经脉2,拳掌2,内力0.2|一套养生健体之古拳法，注重与内劲配合|
11|禁军拳术|3|拳掌|0|基础|4294967295|江湖|4.0|12.0|1-1|经脉+1|1|||三连打击|16.0,0.0,0.0,0.0,0.0,0.0|4.0,0.0,0.0,0.0,0.0,0.0|拳|0|拳掌2|军中流传的基础拳法|
12|御剑要术|4|剑法|0|基础|4294967295|江湖|5.0|10.0|0-0|剑法+1|1||命中+4%|劈砍|0.0,0.0,0.0,0.0,14.0,0.0|0.0,0.0,0.0,0.0,10.0,0.0|剑|0|灵巧2,剑法1,内力0.1|击、刺、格、洗四种基础剑招的汇总口诀|1-2
13|木剑式|4|剑法|0|基础|4294967295|江湖|3.0|8.0|1-2|剑法+1|1||通脉+6%|三连劈砍, 旋叶|0.0,0.0,0.0,0.0,0.0,8.0|0.0,0.0,0.0,0.0,8.0,8.0|剑|0|经脉2,剑法2,内力0.2|初学者常用木剑修炼的剑招，注重防御|
14|禁军剑术|4|剑法|0|基础|4294967295|江湖|4.0|12.0|0-0|灵巧+1|1|||穿刺_风电|0.0,0.0,0.0,16.0,0.0,0.0|0.0,0.0,0.0,4.0,0.0,0.0|剑|0|剑法2|军中流传的基础剑法|1-2
